rank,name,position,team,games,adp,bye,sos,injury_risk,floor_proj,consensus_proj,ds_proj,ceiling_proj,three_d_value,tier_overall,tier_positional,age,years_in_nfl,value_change
52,Drake Maye,QB,NE,17,5.10,11,-2.8%,35%,295.5,315,340,428,32,5,1,23,2,4.4
53,Jayden Daniels,QB,WAS,17,6.04,7,-0.4%,41%,287.4,315,334,434.5,31,5,2,25,2,3.4
49,Terry McLaurin,WR,WAS,17,5.04,7,-2.4%,37%,194.9,215,219,291.2,33,5,5,30,7,1.2
55,Joe Burrow,QB,CIN,17,5.09,6,3.2%,34%,289.9,311,337,421.3,30,5,2,29,6,3.9
56,Jalen Hurts,QB,PHI,17,6.08,10,8.8%,33%,288.1,313,331,430.5,30,5,2,28,6,3.9
69,Caleb Williams,QB,CHI,17,7.02,10,-3.5%,20%,278.6,294,324,421.2,27,6,2,24,2,6.8
50,Cameron Skattebo,RB,NYG,17,4.05,8,2.2%,72%,188.6,216,230,303.5,33,5,5,24,1,0.5
57,Tucker Kraft,TE,GB,17,6.11,11,-3.3%,39%,168,188,200,260,29,5,3,25,3,4.4
59,Rome Odunze,WR,CHI,17,6.01,10,-2.5%,36%,179.4,187,206,296.9,29,5,5,24,2,4.4
41,Davante Adams,WR,LAR,17,5.03,11,-3.1%,49%,188.9,201,230,290.2,36,5,5,33,12,-2.8
72,Parker Washington,WR,JAC,17,7.01,7,4%,0%,175.5,178,211,270.7,26,6,6,24,3,6.8
61,Jameson Williams,WR,DET,17,5.08,6,-1%,36%,184.9,189,210,279.5,28,5,5,25,4,4.3
54,D'Andre Swift,RB,CHI,17,5.06,10,-3.6%,42%,194.5,201,224,292.9,31,5,5,27,6,0.7
60,Bucky Irving,RB,TB,17,5.02,10,-2.2%,63%,180.7,202,210,298.4,29,5,5,23,2,2.3
67,Brock Purdy,QB,SF,17,10.01,8,-4%,36%,278.1,300,327,415.5,27,5,2,26,4,4.3
65,Trevor Lawrence,QB,JAC,17,8.05,7,4.5%,34%,279.9,300,329,414.9,27,5,2,26,5,4.2
66,Justin Herbert,QB,LAC,17,8.01,7,-2.8%,36%,280.7,301,326,417.8,27,5,2,28,6,4.2
68,Quinshon Judkins,RB,CLE,17,4.10,11,0.6%,48%,181.9,202,200,287.8,27,6,6,22,1,4.1
85,Jadarian Price,RB,SEA,17,6.03,11,5.6%,29%,145.2,176,173,300.8,23,7,7,22,0,7.7
76,Jaxson Dart,QB,NYG,17,8.12,8,4.8%,36%,277.1,300,319,417.3,25,6,2,23,1,5.3
70,Kyler Murray,QB,MIN,17,11.08,6,4%,33%,273,281,325,419.3,26,6,2,29,7,4.2
