rank,name,position,team,games,adp,bye,sos,injury_risk,floor_proj,consensus_proj,ds_proj,ceiling_proj,three_d_value,tier_overall,tier_positional,age,years_in_nfl
23,Josh Allen,QB,BUF,17,3.02,7,-3.4%,33%,306.9,363,379,439.5,53,3,1,30,8
24,Omarion Hampton,RB,LAC,17,2.03,7,0.6%,73%,221.3,246,254,361.1,52,3,3,23,1
25,Trey McBride,TE,ARI,17,2.10,14,-3.6%,46%,235.7,246,253,304.2,52,3,1,26,4
26,Derrick Henry,RB,BAL,17,2.08,13,-0.1%,33%,223.1,257,262,333.3,51,3,3,32,10
27,Chris Olave,WR,NO,17,3.01,8,0.9%,75%,215.4,236,256,307.7,50,4,4,26,4
28,Malik Nabers,WR,NYG,16,3.03,8,3.7%,39%,189.4,196,243,347.2,49,4,4,23,2
29,Zay Flowers,WR,BAL,17,3.10,13,-0.3%,36%,224.8,218,253,295.6,48,4,4,25,3
30,DeVonta Smith,WR,PHI,17,3.09,10,6.6%,50%,222.7,228,242,305,46,4,4,27,5
31,Tee Higgins,WR,CIN,17,4.02,6,4%,66%,217,219,244,302.3,45,4,4,27,6
32,Garrett Wilson,WR,NYJ,17,4.04,13,-1%,38%,219.2,228,244,299.6,45,4,4,26,4
33,Jeremiyah Love,RB,ARI,17,3.05,14,0.1%,34%,210.9,249,240,347.6,45,4,4,21,0
34,Colston Loveland,TE,CHI,17,4.06,10,-3.6%,60%,197.4,223,241,288.9,44,4,2,22,1
35,Breece Hall,RB,NYJ,17,3.08,13,-2.5%,43%,212.4,233,250,317.4,43,4,4,25,4
36,Josh Jacobs,RB,GB,17,3.11,11,-2.2%,67%,188.1,241,254,315.1,42,4,4,28,7
37,Jaylen Waddle,WR,DEN,17,4.08,10,-2.5%,37%,199.4,201,235,300.3,40,4,4,27,5
38,Javonte Williams,RB,DAL,17,3.07,14,2.9%,43%,209.1,225,240,305.3,38,4,4,26,5
39,Tyler Warren,TE,IND,17,5.07,13,1.5%,36%,184.1,204,224,267.1,37,4,2,24,1
40,Davante Adams,WR,LAR,17,5.02,11,-3.1%,49%,188.9,201,230,290.2,36,5,5,33,12
41,Travis Etienne,RB,NO,17,4.03,8,1.8%,45%,207.1,214,228,316.4,36,5,4,27,5
42,Kyren Williams,RB,LAR,17,3.06,11,6.4%,52%,207.3,222,233,302.8,35,5,4,25,4
43,Emeka Egbuka,WR,TB,17,3.12,10,2.6%,42%,189.4,200,223,298.6,35,5,5,23,1
44,Tetairoa McMillan,WR,CAR,17,4.01,5,-1.3%,37%,198.7,218,223,290.2,35,5,5,23,1
45,Luther Burden III,WR,CHI,17,4.09,10,-2.5%,54%,184.7,194,223,300.4,35,5,5,22,1
46,Christian Watson,WR,GB,17,6.02,11,1.3%,25%,187.9,185,226,289.7,35,5,5,27,4
47,Ladd McConkey,WR,LAC,17,4.07,7,-2.6%,42%,194.3,215,221,295.9,35,5,5,24,2
48,Lamar Jackson,QB,BAL,17,4.12,13,1.1%,42%,298.8,328,340,438.1,35,5,1,29,8
49,Terry McLaurin,WR,WAS,17,5.06,7,-2.4%,37%,192.7,215,219,291.2,33,5,5,30,7
50,Mike Evans,WR,SF,17,5.12,8,-3.2%,65%,182.9,192,218,296.1,33,5,5,33,12
51,Drake Maye,QB,NE,17,5.10,11,-2.8%,35%,295.5,315,340,428,32,5,1,23,2
52,Cameron Skattebo,RB,NYG,17,4.05,8,2.2%,72%,184.6,216,225,303.9,31,5,5,24,1
53,D'Andre Swift,RB,CHI,17,5.04,10,-3.6%,42%,190.6,201,224,296,31,5,5,27,6
54,Jayden Daniels,QB,WAS,17,6.04,7,-0.4%,41%,287.4,315,334,434.5,31,5,2,25,2
55,Joe Burrow,QB,CIN,17,5.09,6,3.2%,34%,289.9,311,337,421.3,30,5,2,29,6
56,Jalen Hurts,QB,PHI,17,6.08,10,8.8%,33%,288.1,313,331,430.5,30,5,2,28,6
57,David Montgomery,RB,HOU,17,4.11,8,2%,85%,183.3,193,213,300.6,29,5,5,29,7
58,Rome Odunze,WR,CHI,17,6.01,10,-2.5%,36%,179.4,187,206,296.9,29,5,5,24,2
59,Bucky Irving,RB,TB,17,5.01,10,-2.2%,63%,182.8,202,210,298.4,29,5,5,24,2
60,Jameson Williams,WR,DET,17,5.08,6,-1%,36%,184.9,189,210,279.5,28,5,5,25,4
61,Tucker Kraft,TE,GB,17,6.11,11,-3.3%,39%,169.5,188,195,259.2,28,5,3,25,3
